Sales region code;Sales district code;Relation number;Name;Full name;Address 1;Address 2;Zipcode;City;Country code;Country;State code;State description;Telephone;Mobile;Fax;Email;Internet address;Debtor salesman abbreviated;Customer category code;Customer category description;Customer group code;Bio customer;Zone code;Zone description;Company type code;Company type description;Customer type code;Exception VAT indicator;VAT extra;Agora Customer Id
670;BR;3800698;A HORTALICA;JOSE CLAUDIO DE MORAES - EPP;AV CAMARA FILHO, 1100;;75170-000;GOIANAPOLIS;BR;Brazil;GO;GO;62 33412578;;;ahortalicagoianapolis@gmail.com; ;TIAGO;26;Distributor (standard);020;;;;;;V7R;0;0;67351
670;BR;3801287;A HORTINHA;A HORTINHA PRODUTOS AGROPECUARIOS LTDA;Avenida Anhanguera 10199;Qd 01 Lote 18;74430-030;GOIANIA;BR;Brazil;GO;GO;62 35761050;62 35761050;;ahortinhasem@gmail.com; ;TIAGO;27;Distributor (small);020;;;;;;V7R;0;0;88442
670;BR;3800774;A SEMENTEIRA;A SEMENTEIRA PRODUTOS AGROPECUARIOS LIMITADA;AVENIDA  BRASIL SUL, 1191;QUADRA G LOTE 19 E 20 ANEXO 1187;75123-390;ANAPOLIS;BR;Brazil;GO;GO;62 33270099;;;compras@asementeira.com.br; ;TIAGO;26;Distributor (standard);020;;;;;;V7R;0;0;76140
670;BR;3800044;ABUNO;ERNESTO NAOKI ABUNO;Avenida Miguel Petrere, 701;Sala E;18185-000;PILAR DO SUL;BR;Brazil;SP;SP;15 32781746;;;kazumi@nativoagricola.com.br; ;RICARDO;13;Plantraiser (big);030;;;;;;VS;0;0;53549
670;BR;3800413;ACESSO RURAL;ACESSO RURAL LTDA;RUA JK, 214;;38800-000;SAO GOTARDO;BR;Brazil;MG;MG;34 36714802;34 91869240;;marceloartur222@hotmail.com; ;RENAN;28;Distributor (big);020;;;;;;V2R;0;0;53884
670;BR;3800722;ACOSTA;DEBORAH ACOSTA E OUTROS;SITIO LOTE G-2A - TUNAFLOR, SN;;13825-000;HOLAMBRA;BR;Brazil;SP;SP;19 992048029;19 992048029;;alan84.a@gmail.com; ;ANDRESSA;16;Grower (small);020;;;;;;VS;0;0;72490
670;BR;3801139;ACQUASOLE;ACQUASOLE EIRELI;ROD BR 158 - KM 8,S/N;"BRCAO 02;";85.560-000;CHOPINZINHO;BR;Brazil;PR;PR;46 32423376;;;luizgilmarbocalom8@gmail.com; ;RAFAELA;16;Grower (small);010;;;;;;V2R;0;0;84932
670;BR;3800301;ADAUTO;ADAUTO JOSE DE ALMEIDA E OUTRO;SIT SAO JOAO SN;;18310-000;GUAPIARA;BR;Brazil;SP;SP;15 997346549;15 997346549;;r.matsuzaki@rijkzwaan.com; ;RENATO;16;Grower (small);020;;;;;;VS;0;0;53777
670;BR;3801305;ADENOEL;ADENOEL DE PAULI SANTANA;ESTRADA GUARITA,S/N;;86.115-000;LONDRINA;BR;Brazil;PR;PR;43 99104 6230;;;adenoel@gmail.com; ;RAFAELA;16;Grower (small);030;;;;;;V2R;0;0;88773
670;BR;3800656;ADUBOS REAL;ADUBOS REAL LTDA;AVENIDA PINTO COBRA, 780;;37554-290;POUSO ALEGRE;BR;Brazil;MG;MG;35 34492022;;;lilian@adubosreal.com.br;www.adubosreal.com.br;RENATO;26;Distributor (standard);020;;;;;;V2R;0;0;63927
670;BR;3801130;AFONSO MEND;AFONSO ALMEIDA PRADO MENDONCA;R Antonio Rodrigues de Lima;;57130000;SANTA LUZIA DO NORTE;BR;Brazil;AL;AL;82999710965;;;afonsopradoal@hotmail.com; ;ELAINE;16;Grower (small);020;;;;;;V7R;0;0;84810
670;BR;3801106;AFUBRA AGRO;AGRO COMERCIAL AFUBRA LTDA;Rua XV de Novembro;;89160-015;RIO DO SUL;BR;Brazil;SC;SC;47 35258750;47 35258750;;afubrars@afubra.com.br; ;MARCELO;27;Distributor (small);020;;;;;;V2R;0;0;84367
670;BR;3801116;AG ESPERANCA;AGRICOLA ESPERANCA LTDA;RUA PAULINO FERREIRA E SILVA, 737;SALA A;84320-000;RESERVA;BR;Brazil;PR;PR;42984111779;;;fabio_heil@hotmail.com; ;RAFAELA;26;Distributor (standard);020;;;;;;V2R;0;0;84706
670;BR;3800502;AGIFERTIL;AGIFERTIL AGRO COMERCIAL LTDA;AV IMPERATRIZ LEOPOLDINA, 1420;;05305-002;SAO PAULO;BR;Brazil;SP;SP;11 38353584;;;financeiro@agifertil.com.br; ;RENATO;26;Distributor (standard);020;;;;;;VS;0;0;55913
670;BR;3801306;AGM ALIMENTO;AGM ALIMENTOS EIRELLI;Estrada Vicinal Nelson Bolotario, KM 3,5;;15505-970;VOTUPORANGA;BR;Brazil;SP;SP;17 997016278;17 997016278;;adrianosppinto@hotmail.com; ;RICARDO;15;Grower (standard);020;;;;;;VS;0;0;88799
670;BR;3801069;AGOSTINHO CA;CAIO ARENA AGOSTINHO E RHUAN GABRIEL DE FARIA GARCIA;RECANTO FLAMBOYANT;;17600-970;TUPA;BR;Brazil;SP;SP;14 99856 8108;14 99856 8108;;caio_951440@hotmail.com; ;RICARDO;16;Grower (small);020;;;;;;VS;0;0;83678
670;BR;3800695;AGR B JESUS;AGRICOLA BOM JESUS LTDA;FAZ TOCA DA RAPOSA, SN;LOCALIDADE BARAUNA;59695-000;BARAUNA;BR;Brazil;RN;RN;84 994240008;84 994240054;;compras@Coopyfrutas.com;http://coopyfrutas.com/;ERIC;14;Special account (big);020;;;;;;V7R;0;0;67060
670;BR;3800706;AGR JARDIM;AGR. JARDIM PROD E COM DE FRUTAS - EIRELI;SIT JARDIM, SN;LOC SITIO PAU BRANCO;59600-971;MOSSORO;BR;Brazil;RN;RN;84 33183898;84 994116850;;jmanoellopez@uol.com.br; ;ERIC;17;Grower (big);020;;;;;;V7R;0;0;68618
670;BR;3800918;AGRESTE COM;AGRESTE COM DE MATERIAIS AGRICOLAS EIRELI - ME;RUA FRUTUOSO CERQUEIRA;;45360-000;MARACAS;BR;Brazil;BA;BA;73 35333270;;;comercialagreste@hotmail.com; ;BAHIA;26;Distributor (standard);020;;;;;;V7R;0;0;79789
670;BR;3800767;AGRICENTER;AGRICENTER COMERCIAL AGRICOLA LTDA;AVENIDA PRIMEIRO DE JANEIRO, 551;COMERCIO;44900-000;IRECE;BR;Brazil;BA;BA;74 36419191;74 999964786;;agricenter@hotmail.com; ;BAHIA;27;Distributor (small);020;;;;;;V7R;0;0;75809
670;BR;3800015;AGRIMILENIO;ROSINEIDE REGINA DE CARLI ARRIGHI - EPP;Bunjiro Nakao km 58, 5864;;18150-000;IBIUNA;BR;Brazil;SP;SP;15 32481800;;;agrimilenio@terra.com.br; ;ANDRESSA;26;Distributor (standard);020;;;;;;VS;0;0;53523
670;BR;3801199;AGRIMONTE;AGRIMONTE PRODUTOS AGRICOLAS LTDA;ESTRADA MUNICIPAL MONTE ALTO A TAIACU, KM 03;;15910-000;MONTE ALTO;BR;Brazil;SP;SP;16 32423700;16 992260179;;agrimonte@agrimonte.agr.br; ;RICARDO;26;Distributor (standard);020;;;;;;VS;0;0;86609
670;BR;3800424;AGRIMONTE 1;MARCOS GONCALVES GOMES E OUTROS;SIT ESTANCIA UNIAO, SN;ESTRADA MUNICIPAL MONTE ALTO A TAIACU KM 03;15910-000;MONTE ALTO;BR;Brazil;SP;SP;16 32421108;;;mudas@agrimonte.agr.br; ;RICARDO;10;Plantraiser (standard);020;;;;;;VS;0;0;53895
670;BR;3800771;AGRIMUDAS;AGRIMUDAS - VIVEIRO DE MUDAS LTDA;CHACARA PARAISO, SN;;18230-000;SAO MIGUEL ARCANJO;BR;Brazil;SP;SP;;+55 15 997352704;;rafaelalvessampaio@hotmail.com; ;RICARDO;13;Plantraiser (big);020;;;;;;VS;0;0;76049
670;BR;3800985;AGRISTAR;AGRISTAR DO BRASIL LTDA;ROD SP 340 - KM147;;13834-899;SANTO ANTONIO DA POSSE;BR;Brazil;;;19 35147330;;;nfe@agristar.com.br; ;LIONEL;28;Distributor (big);020;;;;;;VS;0;0;81589
670;BR;3801133;AGRO ARMAZEM;"T e A AGRICOLA TECNOLOGIA AVANÇADA EM INSUMOS AGRICOLAS LTDA  ""AGRO ARMAZEM""";RUA JOAQUIM LOUREIRO DE MELO 454 SALA 2;BAIRRO JARDIM LOS ANGELES;86840.000;FAXINAL;BR;Brazil;PR;PR;4134614008;;;berti@agroarmazem.com.br; ;RAFAELA;26;Distributor (standard);020;;;;;;V2R;0;0;84753
670;BR;3800675;AGRO BERALDO;AGRO BERALDO AGRONEGOCIOS LTDA;AV PASCOAL SPALUTO, 480;;18290-000;BURI;BR;Brazil;SP;SP;15 35463417;15 997221634;;agroberaldo2017@gmail.com; ;RICARDO;27;Distributor (small);020;;;;;;VS;0;0;65762
670;BR;3801177;AGRO CAPIXAB;CAMPISTA E LOPES COM PROD AGROPECUARIOS LTDA;Avenida Flamboyant, 210;;76934-000;SERINGUEIRAS;BR;Brazil;RO;RO;69 36232100;69 992386843;;agrocapixabasrg@gmail.com; ;TIAGO;16;Grower (small);020;;;;;;V7R;0;0;85825
670;BR;3800810;AGRO CENTER;AGRO-CENTER COMERCIAL DE HORTIFRUTIGRANJEIROS EIRELI;R DOUTOR VASCONCELOS, 988;LOJA 01 E 02;58401-450;CAMPINA GRANDE;BR;Brazil;PB;PB;83 33631053;;;agrocenter_eneas@hotmail.com; ;ELAINE;26;Distributor (standard);020;;;;;;V7R;0;0;77617
670;BR;3801227;AGRO CERRADO;CERRADO COM PROD AGROP LTDA EPP;Avenida Vera Cruz;;74675-830;GOIANIA;BR;Brazil;GO;GO;62 32077482;62 996849467;;cleya@agrocerrado.net.br; ;TIAGO;27;Distributor (small);020;;;;;;V7R;0;0;86028
670;BR;3800756;AGRO MARTINS;AGRO MARTINS COMERCIO E REPRESENTACOES LTDA;RUA AVELINO DOMINGUES MENK;;18310-000;GUAPIARA;BR;Brazil;SP;SP;15 35471106;;;luizmartins@agromartins.com; ;RENATO;27;Distributor (small);020;;;;;;VS;0;0;74919
670;BR;3800230;AGRO MUDAS;PRAXEDES MINAS SEMENTES LTDA;RUA JOAQUIM CAMARGO, 94;;32145-000;CONTAGEM;BR;Brazil;MG;MG;31 33940300;;;marcelo.praxedes@veloxmail.com; ;RENAN;11;Plantraiser (small);020;;;;;;V2R;0;0;53709
670;BR;3801249;AGRO MUDAS 2;AGRO MUDAS CARATINGA EIRELI ME;AV PRESIDENTE TANCREDO NEVES;;35300-573;CARATINGA;BR;Brazil;MG;MG;33 33218124;33 988786413;;agromudas@praxedesminas.com.br; ;VINICIUS T;10;Plantraiser (standard);020;;;;;;V2R;0;0;87911
670;BR;3801092;AGRO RESERVA;JOSE NORBERTO DIDEK & CIA LTDA;Rua General Osorio, 531;;84320-000;RESERVA;BR;Brazil;PR;PR;42 32761885;;;jn.ltda@hotmail.com; ;RAFAELA;26;Distributor (standard);020;;;;;;V2R;0;0;81200
670;BR;3800645;AGRO SCHULZ;EDAIRCIA MARINA SCHULZ - ME;AE ZONA RURAL , SN;;29645-000;SANTA MARIA DE JETIBA;BR;Brazil;ES;ES;27 98009293;27 98009293;;smj2@extrafruti.com.br; ;VINICIUS T;26;Distributor (standard);020;;;;;;V7R;0;0;61113
670;BR;3800655;AGRO VALE;AGRO VALE-APIAI LTDA;RUA JOAQUIM ELIZIARIO DE CAMPOS;;18320-000;APIAI;BR;Brazil;SP;SP;15 35521929;;;agrovaleapiai@gmail.com; ;RENATO;27;Distributor (small);020;;;;;;VS;0;0;63968
670;BR;3800562;AGROAGDO;Edeilson Agdo Cotrim Bezerra - ME;Rua Joaquim Normanha s/n;;46430-000;GUANAMBI;BR;Brazil;BA;BA;77 34931023;77 998391023;;agroagdo@hotmail.com; ;BAHIA;26;Distributor (standard);020;;;;;;V7R;0;0;58739
670;BR;3801078;AGROBOI;AGROBOI ARAGUARI LTDA;Avenida Vereador Geraldo Teodoro;;38446-124;ARAGUARI;BR;Brazil;MG;MG;3242 8166;;;agroboiari@hotmail.com; ;TIAGO;27;Distributor (small);020;;;;;;V2R;0;0;83835
670;BR;3800071;AGROCAC;AGROCAC COMERCIO E REPRESENTACOES LTDA;AVENIDA BRASIL, 55/69;;14075-040;RIBEIRAO PRETO;BR;Brazil;SP;SP;16 33234000;;16 33234002;compras@agrocac.com.br; ;RICARDO;27;Distributor (small);020;;;;;;VS;0;0;53574
670;BR;3801368;AGROCAMPO;AGROCAMPO AGROPECUARIA EIRELI;Avenida Mestre Falcao;N. 252;78570-000;NOVO HORIZONTE DO NORTE;BR;Brazil;MT;MT;6635591193;;;agrocampo.financeiro@hotmail.com; ;TIAGO;16;Grower (small);020;;;;;;V7R;0;0;90049
670;BR;3800393;AGROCINCO;AGROCINCO COM DE PRODS AGROPECUARIOS LTDA;RUA CESARIO DE PAULA PENTEADO, 381;;13190-000;MONTE MOR;BR;Brazil;SP;SP;19 38796787;;;agnaldo.santos@agrocinco.com.br; ;LIONEL;27;Distributor (small);020;;;;;;VS;0;0;53866
670;BR;3800766;AGROCOCHO;LUCAS ATHAYDE OLIVEIRA;LOC BR 242 PROX AO POVOADO DE BARREIRINHO, SN;;46900-000;SEABRA;BR;Brazil;BA;BA;75 992766767;;;lucas_athayde@hotmail.com; ;BAHIA;13;Plantraiser (big);020;;;;;;V7R;0;0;75741
670;BR;3800548;AGROCOMAPA;AGROCOMAPA COM DE MAQUINAS E PROD AGRICOLAS LTDA;AV. GENERAL OSORIO, 367;;95530-000;MAQUINE;BR;Brazil;RS;RS;51 36281689;;;moises@agrocomapa.com.br;www.agrocomapa.com.br;MARCELO;28;Distributor (big);020;;;;;;V2R;0;0;58283
670;BR;3800692;AGROCULTIVO1;AGROCULTIVO COMERCIO E SERV. DE PRODUTOS AGRICOLAS LTDA;RUA DAVID MARIA MONTEIRO GOMES, 126;;12020-300;TAUBATE;BR;Brazil;SP;SP;12 36221636;12 992754604;;agrocultivo@agrocultivo.com.br; ;ANDRESSA;27;Distributor (small);020;;;;;;VS;0;0;66687
670;BR;3800693;AGROCULTIVO2;AGROCULTIVO COMERCIO E SERV. DE PRODUTOS AGRICOLAS LTDA;ROD SP 107, SN;KM 29 B-13;13820-000;JAGUARIUNA;BR;Brazil;SP;SP;12 36221636;12 992754604;;agrocultivoholambra@agrocultivo.com.br; ;ANDRESSA;27;Distributor (small);020;;;;;;VS;0;0;66688
670;BR;3801364;AGRODOMUS;AGRODOMUS COM DE INSUMOS AGRICOLAS - EIRELI;AV BARAO DO RIO BRANCO;;85813-170;CASCAVEL;BR;Brazil;PR;PR;45 30371419;;;tanabe@agrodomus.com; ;RAFAELA;27;Distributor (small);020;;;;;;V2R;0;0;89988
670;BR;3801316;AGROFAZEN PF;CASSIANO GALAFASSI E OUTROS;FAZENDA MORRO FEIO LG SAO JORGE;;38730-000;GUIMARANIA;BR;Brazil;MG;MG;34 38365151;34 992150100;;agrofazenda@hotmail.com; ;RENAN;26;Distributor (standard);020;;;;;;V2R;0;0;88960
670;BR;3801212;AGROFAZENDA;AGROFAZENDA LTDA;RUA JOAO ALVES DO NASCIMENTO;;38749-800;PATROCINIO;BR;Brazil;MG;MG;34 38365151;;;agrofazenda@hotmail.com; ;RENAN;26;Distributor (standard);020;;;;;;V2R;0;0;82164
670;BR;3800305;AGROFERTIL R;AGROFERTIL AGROPECUARIA LTDA;AV JOAO FREDERICO MARTENDAL, 1665;;88180-000;ANTONIO CARLOS;BR;Brazil;SC;SC;48 32721067;;;nfe@agrofertilagropecuaria.com.br; ;MARCELO;27;Distributor (small);020;;;;;;V2R;0;0;53781
670;BR;3801113;AGROFERTIL T;AMARAL E MARTINS LTDA - EPP;Avenida Conego Joao Lima, 96;;77818-255;ARAGUAINA;BR;Brazil;TO;TO;63 34142598;;;agrofertil7@uol.com.br; ;TIAGO;27;Distributor (small);020;;;;;;V7R;0;0;84029
670;BR;3800661;AGROFORT;ANTONIO MARCOS DOS SANTOS - ME;R CEL JOSE PEDRO DE LIMA, 50;SALA: 01;18440-000;ITABERA;BR;Brazil;SP;SP;15 997740372;;;contato.agrofort@gmail.com; ;RICARDO;27;Distributor (small);020;;;;;;VS;0;0;64277
670;BR;3800521;AGROFRUT;A F DE LIMA FILHO - ME;TV LUIZ COLOMBO, 665;"SALA 1	";59618241;MOSSORO;BR;Brazil;RN;RN;84 994062285;;;agrofrut@hotmail.com.br; ;WEBER;17;Grower (big);020;;;;;;V7R;0;0;56781
670;BR;3800569;AGROGENES;AGROGENES - DIST. PRODUTOS AGROPECUÁRIOS EIRELI;AV MANOEL JOSE DE ARRUDA, 1834;BEIRA RIO;78070-500;CUIABA;BR;Brazil;MT;MT;65 30235754;;;suelen@agrogenes.com.br;www.agrogenes.com.br;TIAGO;27;Distributor (small);020;;;;;;V7R;0;0;58312
670;BR;3800901;AGROLOPES;J. C. DE JESUS LOPES;R 13 DE MAIO;;18400-530;ITAPEVA;BR;Brazil;SP;SP;15 997599391;;;jean.agrolopes@hotmail.com; ;RENATO;27;Distributor (small);020;;;;;;VS;0;0;79024
670;BR;3800369;AGROMAIA PDE;AGROMAIA IND. E COM. IMP. E EXP. DE PROD. AGROPEC. LTDA;RUA MARCEHAL FLORIANO PEIXOTO, 79;;18170-000;PIEDADE;BR;Brazil;SP;SP;15 32448888;;;nfe@agromaia.com.br; ;ANDRESSA;27;Distributor (small);020;;;;;;VS;0;0;53842
670;BR;3800407;AGROMAIA PDS;AGROMAIA IND. E COM. IMP. E EXP. DE PROD. AGROPEC. LTDA;AV PRESBITERO JOVINO GOMES RIBEIRO, 5060;;18185-000;PILAR DO SUL;BR;Brazil;SP;SP;15 32788888;;;diego.rodrigues@agromaia.com.br; ;RICARDO;26;Distributor (standard);020;;;;;;VS;0;0;53878
