Crop;Variedade;Produto + Unidade de venda;Lote;Emb.;Vencimento embalagem;Chemical Treatment Name;Quantidade;
Aubergine;ANGELA;PR TPC;102432795;1TPC;07/2023,;None;112,000;
Aubergine;SABELLE;PR TPC;102303486;1TPC;11/2022,;None;80,000;
Aubergine;SHARAPOVA;PR TPC;102321704;1TPC;01/2023,;None;10,000;
Aubergine;SHARAPOVA;PR TPC;102428603;1TPC;01/2023,;None;268,000;
Batavia lettuce;JONCTION;PR PILL FT TE 3,00-3,50 TPC;102494517;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);45,000;
Beetroot;BETTY;PR F-CT 3,50-4,00 TPC;102496855;50TPC;11/2023,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam©) (f);1.700,000;
Beetroot;BETTY;PR F-CT 3,50-4,00 TPC;102511210;25TPC;11/2023,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam©) (f);2.275,000;
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);99.500,000;
Blanched celery;KYLIAN;NS F-CT TPC;102063646;1TPC;12/2022 R. (BAS 0024_2022),;ProSeed:thiram (f);211,000;
Blanched celery;KYLIAN;NS TPC;102369367;1TPC;03/2023,;None;85,000;
Broccoli;LARSSON &O;PR F-CT 1,50-1,75 TPC;102353762;2.5TPC;10/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);2,500;
Broccoli;LARSSON &O;PR F-CT 1,50-1,75 TPC;102364340;2.5TPC;02/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);750,000;
Broccoli;LARSSON &O;PR F-CT 1,50-1,75 TPC;102515751;2.5TPC;11/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);5.532,500;
Butterhead lettuce;NADINE;PR PILL FT TE 3,00-3,50 TPC;102479564;5TPC;01/2024,;Maxim 480FS:fludioxonil Group 6M (f);495,000;
Butterhead lettuce;NATALIA;PR PILL FT TE 3,00-3,50 TPC;102476568;5TPC;01/2024,;Maxim 480FS:fludioxonil Group 6M (f);1.315,000;
Butterhead lettuce;NATALIA;PR PILL FT TE 3,00-3,50 TPC;102511083;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);176,000;
Carrot;JERADA;PR F-CT 2,00-2,20 MPC;102514766;100TPC;11/2023,;Maxim 480FS:fludioxonil Group 2M / Apron XL: metalaxyl M (Mefenoxam©) (f);24,200;
Cauliflower;26 972 &S;NS F-CT TPC;102520961;1TPC;11/2023,;Apron XL: metalaxyl M (Mefenoxam©) (f);195,000;
Cauliflower;ARIENZO &O;NS F-CT TPC;102511102;2.5TPC;09/2022,;Apron XL: metalaxyl M (Mefenoxam©) (f);135,000;
Cauliflower;ARIENZO &O;NS F-CT TPC;102511104;2.5TPC;04/2023,;Apron XL: metalaxyl M (Mefenoxam©) (f);105,000;
Cauliflower;PAXTON;NS F-CT TPC;102517007;2.5TPC;11/2023,;Apron XL: metalaxyl M (Mefenoxam©) (f);580,000;
Cauliflower;PUNTOVERDE&O;PR F-CT 1,75-2,00 TPC;102468258;1TPC;12/2022,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam©) (f);70,000;
Cauliflower;VITAVERDE;PR F-CT 1,75-2,00 TPC;102478799;1TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam©) (f);252,000;
Cos lettuce;PATRONA;PR PILL FT TE 3,00-3,50 TPC;102469712;5TPC;12/2023,;Maxim 480FS:fludioxonil Group 6M (f);740,000;
