Crop;Variedade;Produto + Unidade de venda;Lote;Emb.;Vencimento embalagem;Chemical Treatment Name;Quantidade
Aubergine;ANGELA;1TPC;102432795;1TPC;07/2023,;None;112
Aubergine;SABELLE;1TPC;102303486;1TPC;11/2022,;None;80
Aubergine;SHARAPOVA;1TPC;102321704;1TPC;01/2023,;None;9
Aubergine;SHARAPOVA;1TPC;102428603;1TPC;01/2023,;None;268
Batavia lettuce;JONCTION;5TPC;102494517;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);25
Beetroot;BETTY;PR F-CT 3,50-4,00 TPC - 50TPC;102496855;50TPC;11/2023,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam®) (f);1.700,00
Beetroot;BETTY;PR F-CT 3,50-4,00 TPC -25 TPC;102511210;25TPC;11/2023,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam®) (f);2.275,00
Beetroot;LIBERO;100TPC;102013344;100TPC;03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam®) (f);99.500,00
Blanched celery;KYLIAN;1TPC;102063646;1TPC;12/2022 R. (BAS 0024_2022),;ProSeed:thiram (f);211
Blanched celery;KYLIAN;1TPC;102369367;1TPC;03/2023,;None;85
Broccoli;LARSSON &O;2.5TPC;102353762;2.5TPC;10/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam®) (f);2,5
Broccoli;LARSSON &O;2.5TPC;102364340;2.5TPC;02/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam®) (f);740
Broccoli;LARSSON &O;2.5TPC;102515751;2.5TPC;11/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam®) (f);5.532,50
Butterhead lettuce;NADINE;5TPC;102479564;5TPC;01/2024,;Maxim 480FS:fludioxonil Group 6M (f);495
Butterhead lettuce;NATALIA;5TPC;102476568;5TPC;01/2024,;Maxim 480FS:fludioxonil Group 6M (f);1.115,00
Butterhead lettuce;NATALIA;1TPC;102511083;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);156
Carrot;JERADA;100TPC;102514766;100TPC;11/2023,;Maxim 480FS:fludioxonil Group 2M / Apron XL: metalaxyl M (Mefenoxam®) (f);23,7
Cauliflower;26 972 &S;1TPC;102520961;1TPC;11/2023,;Apron XL: metalaxyl M (Mefenoxam®) (f);180
Cauliflower;ARIENZO &O;2.5TPC;102511102;2.5TPC;09/2022,;Apron XL: metalaxyl M (Mefenoxam®) (f);125
Cauliflower;ARIENZO &O;2.5TPC;102511104;2.5TPC;04/2023,;Apron XL: metalaxyl M (Mefenoxam®) (f);105
Cauliflower;PAXTON;2.5TPC;102517007;2.5TPC;11/2023,;Apron XL: metalaxyl M (Mefenoxam®) (f);530
Cauliflower;PUNTOVERDE&O;1TPC;102468258;1TPC;12/2022,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam®) (f);70
Cauliflower;VITAVERDE;1TPC;102478799;1TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam®) (f);252
Cos lettuce;PATRONA;5TPC;102469712;5TPC;12/2023,;Maxim 480FS:fludioxonil Group 6M (f);390
Cos lettuce;PATRONA;5TPC;102502540;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 6M (f);460
Cos lettuce;SALVIUS;5TPC;102466421;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);130
Cos lettuce;THURINUS;5TPC;102473988;5TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);300
Cos lettuce;THURINUS;5TPC;102462574;5TPC;12/2022,;None;295
Cucurbita maxima (rootstock);FERRO;1TPC;102169970;1TPC;01/2023 (BAS 0097_2022),;Maxim 480FS:fludioxonil Group 6M (f);128
Cucurbita maxima (rootstock);FERRO;1TPC;102194752;1TPC;05/2022,;Maxim 480FS:fludioxonil Group 6M (f);907
Cucurbita maxima (rootstock);FERRO;1TPC;102214663;1TPC;06/2022,;Maxim 480FS:fludioxonil Group 6M (f);405
Endive;ANCONI;5TPC;102386107;5TPC;01/2023,;None;170
Endive;ANCONI;5TPC;102471829;5TPC;07/2023,;None;1.090,00
Endive;ANCONI;5TPC;102474253;5TPC;07/2023,;None;105
Endive;ANCONI;5TPC;102504334;5TPC;11/2022,;None;935
Endive;KORBI;5TPC;102469208;5TPC;07/2023,;None;65
Endive;KORBI;5TPC;102504472;5TPC;10/2022,;None;230
Gem Lettuce;ASTORGA;5TPC;102406179;5TPC;12/2022,;Maxim 480FS:fludioxonil Group 6M (f);20
Gem Lettuce;ASTORGA;5TPC;102449319;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);110
Gem Lettuce;ROSAINE;5TPC;102434928;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);5
Gem Lettuce;TUDELA;1TPC;102472041;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 6M (f);86
Gem Lettuce;TUDELA;5TPC;102489076;5TPC;04/2023,;Maxim 480FS:fludioxonil Group 6M (f);1.380,00
Gherkin;SHAKTHI;25TPC;102453347;25TPC;07/2023, 100% Agristar,;ProSeed:thiram (f);175
Gherkin;SOUND &O;1TPC;101910231;1TPC;01/2023 (BAS 0104_2022) Segunda Reanálise,;ProSeed:thiram (f);74
Gherkin;SOUND &O;1TPC;102370402;1TPC;03/2023,;ProSeed:thiram (f);111
Gherkin;SOUND &O;1TPC;102495902;1TPC;08/2023,;ProSeed:thiram (f);467
Incised leaf lettuce;BELLAGON;5TPC;102405059;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 6M (f);5
Incised leaf lettuce;BELLAGON;5TPC;102494710;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);830
Incised leaf lettuce;DESIRADE;1TPC;102434353;1TPC;06/2022,;Maxim 480FS:fludioxonil Group 6M (f);84
Incised leaf lettuce;DESIRADE;5TPC;102435682;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);530
Incised leaf lettuce;DESIRADE;1TPC;102475517;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);50
Incised leaf lettuce;DESIRADE;5TPC;102493003;5TPC;04/2023,;Maxim 480FS:fludioxonil Group 6M (f);1.280,00
Leek;MATISSE;1TPC;102521485;1TPC;01/2023,;None;968
Melon;CRUCIAL;5TPC;120019443;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.235,00
Melon;CRUCIAL;5TPC;120019445;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);425
Melon;CRUCIAL;5TPC;120019447;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);220
Melon;CRUCIAL;5TPC;120019459;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);130
Melon;CRUCIAL;5TPC;120019461;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);85
Melon;DOLSURA;5TPC;101632859;5TPC;05/2022 R. (BAS 0474_2021),;ProSeed:thiram (f);740
Melon;DOLSURA;5TPC;101685665;5TPC;05/2022 R. (BAS 0475_2021),;ProSeed:thiram (f);75
Melon;ELDOR;5TPC;120024525;5TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);600
Melon;ELDOR;10TPC;120024529;10TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.960,00
Melon;ELDOR;5TPC;120025181;5TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);520
Melon;ELDOR;10TPC;120025197;10TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.470,00
Melon;FINURA;5TPC;102467215;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);95
Melon;FINURA;10TPC;102467218;10TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);10
Melon;FINURA;5TPC;102467219;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);130
Melon;FINURA;5TPC;120024290;5TPC;09/2023,;Maxim 480FS:fludioxonil Group 1M (f);135
Melon;FINURA;5TPC;120024304;5TPC;09/2023,;Maxim 480FS:fludioxonil Group 1M (f);240
Melon;FINURA;10TPC;120025035;10TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);730
Melon;FINURA;10TPC;120025179;10TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);400
Melon;FLECHAVERDE;10TPC;120001635;10TPC;05/2022,;Maxim 480FS:fludioxonil Group 1M (f);590
Melon;FLECHAVERDE;5TPC;120000558;5TPC;03/2022,;ProSeed:thiram (f);5
Melon;FLECHAVERDE;10TPC;120002655;10TPC;06/2022,;Maxim 480FS:fludioxonil Group 1M (f);1.030,00
Melon;GALACTUS;5TPC;101842422;5TPC;06/2022 R. (BAS 0504_21),;ProSeed:thiram (f);80
Melon;GALACTUS;5TPC;101930712;5TPC;06/2022 R.  (BAS 0506_21),;ProSeed:thiram (f);400
Melon;GLADIAL;1TPC;102159063;1TPC;03/2022,;Maxim 480FS:fludioxonil Group 1M (f);21
Melon;GLADIAL;5TPC;120012617;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);165
Melon;GLADIAL;5TPC;120012873;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);4.360,00
Melon;GLADIAL;5TPC;120012993;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.595,00
Melon;GLADIAL;5TPC;120015220;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.820,00
Melon;GLADIAL;5TPC;120015228;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.410,00
Melon;GLADIAL;5TPC;120015782;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);985
Melon;GLADIAL;5TPC;120009090;5TPC;10/2022 SEM TRATAMENTO,;None;1.090,00
Melon;GOLD;10TPC;120014279;10TPC;02/2023 SEM TRATAMENTO,;None;40
Melon;GOLD;10TPC;120014275;10TPC;02/2023 SEM TRATAMENTO,;None;1.350,00
Melon;LUAL;5TPC;101234094;5TPC;06/2022 R. (BAS 0515_2021),;ProSeed:thiram (f);1.640,00
Melon;MINITHOR;5TPC;120006014;5TPC;08/2022 SEM TRATAMENTO,;None;460
Melon;NATAL;1TPC;101905687;1TPC;05/2022 R. (BAS 0402_2021),;ProSeed:thiram (f);2
Melon;NATAL;10TPC;120002438;10TPC;02/2023 (BAS 0132_2022),;Maxim 480FS:fludioxonil Group 1M (f);1.150,00
Melon;NATAL;10TPC;120026410;10TPC;12/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.180,00
Melon;NATAL;10TPC;120026455;10TPC;12/2023,;Maxim 480FS:fludioxonil Group 1M (f);3.790,00
Melon;NATAL;10TPC;120018211;10TPC;05/2023 SEM TRATAMENTO,;None;570
Melon;RICURA;5TPC;120001143;5TPC;02/2023 (BAS 0131_2022),;Maxim 480FS:fludioxonil Group 1M (f);130
Melon;RICURA;10TPC;102474580;10TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);340
Melon;RICURA;5TPC;102474581;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);5
Melon;RICURA;5TPC;102474590;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);210
Melon;RICURA;10TPC;102475270;10TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);490
Melon;RICURA;5TPC;102475271;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);150
Melon;RICURA;5TPC;120006529;5TPC;09/2022,;Maxim 480FS:fludioxonil Group 1M (f);265
Melon;SMILE;5TPC;120022457;5TPC;01/2023,;ProSeed:thiram (f);340
Melon;SMILE;5TPC;120024606;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);90
Melon;SMILE;5TPC;102507502;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);430
Melon;SMILE;5TPC;102507505;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);320
Melon;TIKAL;5TPC;120004376;5TPC;08/2022 SEM TRATAMENTO,;None;200
Mini cucumber;LARINO &S;100PC;102402170;100PC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);68,3
Mini cucumber;PAZSTAR &S;500PC;101589996;500PC;06/2022 R. (BAS 052_2021),;ProSeed:thiram (f);41
Multi-leaf lettuce;BARLACH;5TPC;102511625;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);235
Multi-leaf lettuce;BARLACH;5TPC;102517641;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 6M (f);720
Multi-leaf lettuce;BARLACH;1TPC;102532064;1TPC;12/2022,;Maxim 480FS:fludioxonil Group 6M (f);11
Multi-leaf lettuce;COUSTEAU;5TPC;102443290;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);450
Multi-leaf lettuce;COUSTEAU;1TPC;102473768;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);17
Multi-leaf lettuce;COUSTEAU;5TPC;102479791;5TPC;04/2023,;Maxim 480FS:fludioxonil Group 6M (f);760
Multi-leaf lettuce;COUSTEAU;1TPC;102511820;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);65
Multi-leaf lettuce;EULER;5TPC;102453254;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);275
Multi-leaf lettuce;EULER;1TPC;102480472;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);16
Multi-leaf lettuce;KLEE;5TPC;102463779;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);135
Multi-leaf lettuce;KLEE;1TPC;102487376;1TPC;09/2022,;Maxim 480FS:fludioxonil Group 6M (f);187
Multi-leaf lettuce;SARTRE;5TPC;102460159;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);495
Multi-leaf lettuce;SARTRE;5TPC;102496391;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);845
Multi-leaf lettuce;XANDRA;1TPC;102443100;1TPC;06/2022,;Maxim 480FS:fludioxonil Group 6M (f);16
Multi-leaf lettuce;XANDRA;5TPC;102450100;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);385
Multi-leaf lettuce;XANDRA;1TPC;102473782;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);38
Oak leaf lettuce;KIRIBATI;5TPC;102451211;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);800
Oak leaf lettuce;KIRIBATI;1TPC;102452372;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 6M (f);266
Oak leaf lettuce;KRISTINE;5TPC;102403536;5TPC;11/2022,;Maxim 480FS:fludioxonil Group 6M (f);130
Oak leaf lettuce;KRISTINE;5TPC;102474204;5TPC;12/2023,;Maxim 480FS:fludioxonil Group 6M (f);280
Oak leaf lettuce;MONDAI;5TPC;102381729;5TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);530
Oak leaf lettuce;MONDAI;5TPC;102439024;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 6M (f);345
Oak leaf lettuce;ROUXAI;1TPC;102471157;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 6M (f);8
Oak leaf lettuce;ROUXAI;5TPC;102478133;5TPC;01/2024,;Maxim 480FS:fludioxonil Group 6M (f);790
Oak leaf lettuce;ROUXAI;1TPC;102513865;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);59
Oak leaf lettuce;ROUXAI;1TPC;102522450;1TPC;11/2022,;Maxim 480FS:fludioxonil Group 6M (f);68
Rootstock Capsicum;BEDROCK;1TPC;102447031;1TPC;07/2023,;Maxim 480FS:fludioxonil Group 1M (f);13
Rootstock solanaceae;EMBAJADOR;1TPC;102509929;1TPC;10/2022,;None;950
Rootstock solanaceae;EMBAJADOR;1TPC;102529097;1TPC;10/2022,;None;696
Rootstock solanaceae;EMBAJADOR;1TPC;102530609;1TPC;05/2022,;None;280
Rootstock solanaceae;RAMPART &S;1TPC;101996001;1TPC;06/2022 R. (BAS 058_2021),;None;552
Spinach;PILOTFISH &O;25TPC;102374041;25TPC;09/2022,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam®) (f);1,675
Spinach;SILVERWHALE;25TPC;102264030;25TPC;05/2022,;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam®) (f);2,15
Sweet pepper;ARAGONEZ;1TPC;102493850;1TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);376
Sweet pepper;ARANCIA;500PC;101939345;500PC;01/2023 (BAS 0121_2022) Segunda reanálise,;ProSeed:thiram (f);32,5
Sweet pepper;ARANCIA;500PC;102369190;500PC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);32
Sweet pepper;AVANTE;500PC;102418842;500PC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);68
Sweet pepper;AVANTE;500PC;102469113;500PC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);166,5
Sweet pepper;AVANTE;500PC;102339370;500PC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);71
Sweet pepper;BACHATA;500PC;102065877;500PC;09/2022 R. (BAS 0070_2021),;ProSeed:thiram (f);35,5
Sweet pepper;BACHATA;500PC;102234956;500PC;07/2022,;Maxim 480FS:fludioxonil Group 1M (f);305
Sweet pepper;CRIPTONIO;1TPC;102373134;1TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);2
Sweet pepper;CRIPTONIO;1TPC;102420351;1TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);351
Sweet pepper;GUEMES&S;1TPC;102432635;1TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);199
Sweet pepper;MARSELAN;1TPC;102465138;1TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);335
Sweet pepper;OBEDIUS;500PC;101939064;500PC;01/2023 (BAS 0122_2022) Segunda reanálise,;ProSeed:thiram (f);3
Sweet pepper;OBEDIUS;500PC;102441864;500PC;07/2023,;Maxim 480FS:fludioxonil Group 1M (f);98
Sweet pepper;PAINITA;1TPC;102369218;1TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);50
Sweet pepper;PALERMO;500PC;102421890;500PC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);168
Sweet pepper;RED JET;500PC;102198244;500PC;06/2022,;Maxim 480FS:fludioxonil Group 1M (f);83
Sweet pepper;REDWING;500PC;102384710;500PC;04/2023,;Maxim 480FS:fludioxonil Group 1M (f);35
Sweet pepper;REDWING;500PC;102432733;500PC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);88,5
Sweet pepper;SPINEL;1TPC;102398631;1TPC;05/2023,;Maxim 480FS:fludioxonil Group 1M (f);8
Sweet pepper;SPINEL;1TPC;102511860;1TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);270
Sweet pepper;SVEN;500PC;102492809;500PC;09/2023,;Maxim 480FS:fludioxonil Group 1M (f);7,5
Sweet pepper;SVEN;500PC;102531829;500PC;12/2023,;Maxim 480FS:fludioxonil Group 1M (f);25,5
Sweet pepper;TARTA;500PC;102063446;500PC;08/2022 R. (BAS 0725_2021),;ProSeed:thiram (f);56
Sweet pepper;TATIN;500PC;102062530;500PC;08/2022 R. (BAS 0724_2021),;ProSeed:thiram (f);23,5
Sweet pepper;VERDIAL;500PC;102306179;500PC;11/2022,;None;35,5
Sweet pepper;YOSEMITE;500PC;102450094;500PC;07/2023,;Maxim 480FS:fludioxonil Group 1M (f);94,5
Sweet pepper;ZUPPA;500PC;102066296;500PC;08/2022 R. (BAS 0723_2021),;ProSeed:thiram (f);77,5
Swiss chard;CHARLIE;25TPC;102514312;25TPC;11/2023,;None;2,05
Tomato;FARBINI;100PC;101853914;100PC;10/2022 R. (BAS 0777_2021),;None;7,1
Tomato;FARBINI;100PC;101863919;100PC;10/2022 R. (BAS 0777_2021),;None;3,4
Tomato;FRATELLINO;100PC;101913435;100PC;12/2022 R. (BAS 0972_2021),;None;39,6
Tomato;GIACOMO;1TPC;101510739;1TPC;12/2022 R. (BAS 0973_2021),;None;287
Tomato;IDOLINI;100PC;101866601;100PC;12/2022 R. (BAS 0978_2021),;None;5,4
Tomato;MAGGINO;100PC;101963187;100PC;10/2022 R. (BAS 0778_2021),;None;54,7
Tomato;MALDINI;1TPC;101857685;1TPC;12/2022 R. (BAS 0979_2021),;None;72
Tomato;MONTELIGA;1TPC;102485796;1TPC;09/2023,;None;20
Tomato;OPERINO;100PC;101853924;100PC;12/2022 R. (BAS 0976_2021),;None;16,8
Tomato;OPERINO;100PC;101863921;100PC;12/2022 R. (BAS 0976_2021),;None;12,9
Tomato;TATAMI;100PC;102279820;100PC;10/2022,;None;13,8
Tomato;TRONUS;1TPC;102434040;1TPC;07/2023,;None;947
Tomato;TRONUS;1TPC;102522051;1TPC;12/2023,;None;4.143,00
Tomato;VALOURO;1TPC;102057139;1TPC;08/2022 R. (BAS 0711_2021),;None;51
Tomato;VALOURO;1TPC;102210245;1TPC;06/2022,;None;270
Watermelon;CAMPOLINA;1TPC;102336563;1TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.057,00
Watermelon;TIGRINHO;1TPC;102282116;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 1M (f);126
Watermelon;TIGRINHO;1TPC;102322502;1TPC;12/2022,;Maxim 480FS:fludioxonil Group 1M (f);849
