Crop;Variedade;Produto + Unidade de venda;Lote;Emb.;Vencimento embalagem;Chemical Treatment Name;Quantidade
Melon;FINURA;PR TPC;101215264;1TPC;2016-07-12 (1): CULTIVAR PROTECTION,;None;1,00
Melon;LUAL;PR F-CT TPC;101234094;5TPC;2015-09-28 (1): 06/2022 R. (BAS 0515_2021),;ProSeed:thiram (f);1.000,00
Melon;LUAL;PR F-CT TPC;101234094;5TPC;2015-09-28 (1): 06/2022 R. (BAS 0515_2021),;ProSeed:thiram (f);640,00
Tomato;BERMELLO;NS TPC;101298431;1TPC;2016-11-18 (1): PBR,;None;1,00
Multi-leaf lettuce;SEURAT;NS KG;101381646;50G;2016-07-12 (1): CULTIVAR PROTECTION,;None;0,10
Tomato;GIACOMO;NS CT GSPP TPC;101510739;1TPC;2020-01-30 (1): 12/2022 R. (BAS 0973_2021),;None;287,00
Endive;ANCONI;PR TPC;101540470;1TPC;2019-08-22 (1): PBR,;None;12,00
Melon;DOLSURA;PR F-CT TPC;101548652;5TPC;2019-10-03 (1): 05/2022 R. (BAS 0473_2021),;ProSeed:thiram (f);295,00
Mini cucumber;YALDA &O;PR F-CT TPC;101589996;500PC;2021-06-24 (1): 06/2022 R. (BAS 052_2021),;ProSeed:thiram (f);41,00
Tomato;GIACOMO;NS GSPP TPC;101592005;1TPC;2017-09-01 (1): 07/2019, PVP/PBR,;None;16,00
Multi-leaf lettuce;COUSTEAU;NS KG;101594272;50G;2021-12-16 (1): PBR,;None;0,15
Melon;DOLSURA;PR F-CT TPC;101632859;5TPC;2019-10-03 (1): 05/2022 R. (BAS 0474_2021),;ProSeed:thiram (f);740,00
Melon;DOLSURA;PR F-CT TPC;101685665;5TPC;2019-10-03 (1): 05/2022 R. (BAS 0475_2021),;ProSeed:thiram (f);75,00
Melon;GALACTUS;PR F-CT TPC;101842422;5TPC;2021-05-14 (1): 06/2022 R. (BAS 0504_21),;ProSeed:thiram (f);80,00
Tomato;FARBINI;NS GSPP TPC;101853914;100PC;2021-05-13 (1): 10/2022 R. (BAS 0777_2021),;None;7,10
Tomato;OPERINO;NS CT GSPP TPC;101853924;100PC;2021-05-26 (1): 12/2022 R. (BAS 0976_2021),;None;16,80
Tomato;MALDINI;NS CT GSPP TPC;101857685;1TPC;2021-04-14 (1): 12/2022 R. (BAS 0979_2021),;None;75,00
Tomato;FARBINI;NS GSPP TPC;101863919;100PC;2021-05-13 (1): 10/2022 R. (BAS 0777_2021),;None;3,40
Tomato;OPERINO;NS CT GSPP TPC;101863921;100PC;2021-05-24 (1): 12/2022 R. (BAS 0976_2021),;None;12,90
Tomato;IDOLINI;PR CT GSPP TPC;101866601;100PC;2021-05-20 (1): 12/2022 R. (BAS 0978_2021),;None;5,70
Melon;NATAL;PR F-CT TPC;101905687;1TPC;2019-02-18 (1): 05/2022 R. (BAS 0402_2021),;ProSeed:thiram (f);2,00
